time,latency_ms
231825546316667,7.320484
231825546376060,6.451701
231825547051094,7.068771
231825556397036,7.689557
231825557476936,7.259097
231825557479520,7.282826
231825557490804,7.30995
231825567971645,6.951127
231825567976855,6.880618
231825567979066,6.873785
231825567994291,7.315627
231825578770164,6.795563
231825578774865,6.749941
231825578789130,6.739645
231825578874261,6.908451
231825589767082,6.883901
231825589791009,6.90582
231825589819366,7.001819
231825590732598,7.858392
231825601161197,7.355966
231825601170023,7.381371
231825601227630,7.384842
231825601304378,7.546786
231825611914654,6.82935
231825611918613,6.895909
231825611941853,6.878107
231825611997778,6.942604
231825623469777,7.297897
231825623473473,7.24948
231825623474957,7.295866
231825623476091,7.299542
231825634885428,6.992581
231825634890794,6.975507
231825634893044,7.050237
231825635891688,8.001377
231825646136815,6.902008
231825646142061,6.842165
231825646144071,6.92727
231825646169161,6.940248
231825657027517,6.968572
231825657032570,7.044476
231825657134904,7.176889
231825658609220,8.545102
231825668281208,6.869358
231825668286060,6.805868
231825668287680,6.878764
231825668289266,6.825411
231825679761693,6.728924
231825679851821,6.844494
231825680770143,7.831532
231825680787362,7.916674
231825690911983,6.906892
231825690932756,7.053061
231825691890391,8.001055
231825691937587,7.987423
231825702262006,6.950543
231825702266325,6.994364
231825702268204,7.029242
231825702321134,7.052617
231825713480612,6.898886
231825714485484,7.85787
231825714507997,7.964946
231825714539599,7.935779
231825730174748,12.848383
231825731277431,12.463913
231825731279742,12.473638
231825731289538,12.470995
231825741381196,7.12416
231825742454659,7.515636
231825743278744,8.23909
231825743281062,8.280356
231825752867015,7.850038
231825753912219,7.441555
231825753920057,7.410477
231825753932903,7.405705
231825763970405,6.430699
231825765896440,9.137775
231825765936876,8.404514
231825767578134,10.031965
231825774411053,7.853381
231825776967542,7.57502
231825777826857,7.741264
231825777843552,7.758027
231825784444755,7.634736
231825787620192,7.028322
231825788430404,7.718927
231825788434808,7.728802
231825795393666,8.701443
231825798968567,7.258757
231825798972861,7.266226
231825799064776,7.509846
231825806521638,8.87641
231825809570969,6.958534
231825809575469,6.961504
231825809638617,7.057626
231825817172491,8.38837
231825820137221,7.136578
231825820140478,7.133455
231825820141824,7.137821
231825826857420,7.440585
231825830675131,7.014326
231825830678823,7.017556
231825830830532,7.163352
231825839270717,10.227008
231825841286338,7.043519
231825841290274,7.079467
231825841304586,7.075557
231825850240837,8.074833
231825851262676,7.112591
231825852437267,8.22752
231825852456427,8.271522
231825860506300,7.92273
231825862439462,7.095322
231825863525171,8.949887
231825864010133,8.669714
231825871614301,7.050825
231825872640789,9.011548
231825873357203,7.062713
231825873654125,7.357516
231825882290319,8.352295
231825883429384,6.908157
231825884127889,7.597704
231825884190047,7.660645
231825892775559,7.933073
231825894700358,7.34814
231825894703379,7.316761
231825894704939,7.313625
231825903818630,8.349878
231825905630065,7.151513
231825905639172,7.204437
231825905642038,7.192927
231825915492846,9.199476
231825916559043,7.943347
231825916561364,7.827555
231825916586756,7.848526
231825926997223,6.999649
231825928048910,7.360737
231825928051162,7.395393
231825928067315,7.331175
231825938325937,8.925409
231825939456400,7.652936
231825939474945,7.658072
231825939506160,7.716832
231825948546000,6.815166
231825949765938,7.387539
231825952021763,8.702644
231825952026268,8.702693
231825959604030,7.587431
231825959609084,7.566589
231825961535509,7.343291
231825961546707,7.46353
231825970340562,7.366438
231825971116071,6.811302
231825971178396,6.908662
231825972143774,7.819482
231825982431333,7.03294
231825983517309,8.058368
231825983566390,8.092299
231825983590760,8.179266
231825994392462,7.555966
231825995578994,7.583104
231825995610296,7.638145
231825995628701,7.669845
231826005322582,7.281302
231826007358306,7.560179
231826007362298,7.685003
231826007364230,7.693117
231826017118581,8.30771
231826018153788,7.511481
231826018156825,7.493384
231826018161033,7.48915
231826029479796,6.805076
231826029486469,6.837649
231826029488291,6.996335
231826029718502,7.104191
231826042152334,7.191147
231826042180886,7.234342
231826043350523,8.4001
231826043352929,8.409285
231826054562041,6.969074
231826054567387,7.062132
231826054569488,6.940472
231826055615728,8.000877
231826066341238,7.314614
231826066346269,7.326188
231826067942254,8.947765
231826067948681,8.910291
231826078654322,8.325238
231826079762513,6.736171
231826079766279,9.150622
231826080630747,7.628696
231826089877874,7.83142
231826091693817,7.260111
231826091697509,7.216247
231826091699102,7.231049
231826100549765,7.857378
231826102495494,7.606389
231826102502046,7.571913
231826102516468,7.636167
231826113108675,7.526189
231826114165497,7.272325
231826114170485,7.359443
231826114172686,7.328357
231826126264866,7.122268
231826126283334,7.283905
231826127307608,8.060595
231826127312511,8.121054
231826138114611,7.063928
231826138256869,7.187505
231826139316695,8.255337
231826140258886,9.233242
231826149334776,6.988586
231826149348074,6.827698
231826149351186,6.79878
231826149382981,6.757369
231826161394252,7.019628
231826161399643,7.080073
231826162439101,8.132124
231826162448047,8.07907
231826180816293,12.077591
231826180876386,10.619597
231826181914834,11.586098
231826181947636,11.588827
231826193916634,7.667156
231826194981184,8.732981
231826194983666,8.802214
231826194992372,8.802171
231826206252797,7.519178
231826206278582,8.88566
231826207564172,8.923986
231826209116195,10.338853
231826219313647,8.011256
231826219317507,8.983282
231826220341708,8.962163
231826220352551,8.940878
231826232199347,6.404104
231826232203666,6.340235
231826232283510,6.457522
231826232310296,6.63296
231826242768175,6.302623
231826242772540,6.284009
231826243217528,6.775158
231826243354951,6.913371
231826254203366,6.534662
231826254208654,6.563971
231826254258099,6.5
231826254320480,6.663052
231826266219536,6.520869
231826266331874,6.64544
231826267489376,7.816899
231826267507429,7.751798
231826277528796,6.575371
231826277533663,6.566315
231826277560468,6.623002
231826278651873,7.596335
231826288270026,6.291829
231826289459238,7.532128
231826289461849,7.501528
231826289462865,7.532222
231826299394697,6.833201
231826299511077,5.910101
231826300553518,6.941566
231826300618776,6.960332
231826310390888,7.810593
231826311495883,5.949718
231826311509988,5.947325
231826311515814,6.092884
231826321174314,7.758838
231826323261324,7.638783
231826323264536,7.680192
231826323266025,7.635976
231826332782991,8.327108
231826334014671,7.402756
231826334019217,7.435597
231826334950100,8.34932
231826343640345,8.079572
231826346512166,6.856534
231826347497320,7.901176
231826347503755,7.88854
231826355807329,9.600716
231826359896196,7.315645
231826359962744,8.313075
231826360999641,8.484997
231826369033012,10.760423
231826370956401,7.286553
231826371046008,7.389061
231826371868490,8.208629
231826383442446,7.872425
231826385293679,9.661239
231826386395346,10.785268
231826386483161,12.362994
231826409029191,16.547714
231826409034677,10.586229
231826410173551,11.857175
231826410176426,11.737929
231826422867243,7.819481
231826424119838,9.082908
231826424123692,9.09222
231826424126168,9.070159
231826435702607,7.708057
231826435707891,7.659143
231826435721279,7.671663
231826436800304,8.923403
231826448136514,6.914775
231826448141673,6.929154
231826449167072,7.95861
231826449186865,8.223624
231826462995081,7.018401
231826463142395,7.015773
231826463295820,7.173124
231826463572680,7.623426
231826477316374,7.170688
231826478342773,8.129304
231826478369580,8.240822
231826478372295,8.243085
231826488536191,8.864896
231826489650224,7.528848
231826489660344,7.542827
231826489718982,7.607223
231826499579734,6.982815
231826500798204,7.493232
231826500801748,7.487648
231826500818627,7.502027
231826511081308,7.748675
231826512159416,7.482711
231826512171259,7.668905
231826512174612,7.517962
231826522350054,7.221931
231826523391350,7.393125
231826523411804,7.488547
231826523414956,7.448026
231826533504455,6.833611
231826534504827,7.647235
231826534557017,7.683083
231826534560368,7.78175
231826545082164,7.31724
231826545196517,7.438532
231826545230988,7.489774
231826546144404,8.405816
231826557340874,7.892172
231826557377115,7.892195
231826558468528,8.979204
231826558498130,8.978975
231826569730722,7.198132
231826569735889,7.324504
231826570813318,8.405274
231826570815764,8.310582
231826582828524,8.022077
231826582833437,8.001282
231826583850036,9.207389
231826583856103,9.214926
231826594018882,7.252139
231826595251331,8.730697
231826595264388,8.446772
231826595270157,8.424276
231826605743630,9.112124
231826608213387,8.194703
231826609101935,9.181113
231826609111911,9.055528
231826617454692,9.108481
231826618766308,8.412797
231826621094213,8.456543
231826621117313,8.476117
231826629839914,8.340967
231826631015446,8.848042
231826631858647,7.544588
231826632777706,8.463527
231826640795865,7.153275
231826641864384,7.142787
231826642683191,7.67422
231826642708460,7.689269
231826652630997,6.951976
231826652634588,6.843828
231826652635857,6.906878
231826652636910,6.911752
231826667224057,6.546741
231826668285272,7.461337
231826668295499,7.952627
231826668298817,7.526127
231826679650243,6.848623
231826680709640,7.914306
231826680711737,8.065749
231826680718949,8.001904
231826690149399,7.856331
231826692024817,7.369579
231826692028167,7.395171
231826692033984,7.362544
231826701430942,8.100258
231826702586312,7.462578
231826702588531,7.463179
231826702593339,7.513701
231826711679998,7.373005
231826713516695,7.091876
231826713534408,7.124741
231826713559721,7.190848
231826722060437,7.59579
231826723192664,6.407595
231826724884647,8.117575
231826725378433,8.584141
231826733477811,7.656489
